,0
0,Leadership
1,leadership
2,innovation
3,innovation
4,Innovation
5,innovation
6,leadership
7,Strategic
8,innovation
9,leadership
10,strategic
11,Leadership
12,innovation
13,innovation
14,strategic
15,leadership
16,innovation
17,leadership
18,innovation
19,innovation
20,innovation
21,innovation
22,innovation
23,innovation
24,strategic
25,innovation
26,innovation
27,leadership
28,leadership
29,innovation
30,innovation
31,leadership
32,Leadership
33,leadership
34,leadership
35,innovation
36,innovation
37,innovation
38,innovation
39,innovation
40,innovation
41,leadership
42,innovation
43,innovation
44,innovation
45,innovation
46,innovation
47,innovation
48,innovation
49,innovation
50,innovation
51,innovation
52,innovation
53,innovation
54,strategic
55,innovation
56,innovation
57,innovation
58,innovation
59,innovation
60,leadership
61,innovation
