,0
0,brand
1,brand
2,loyalty
3,brand
4,brand
5,brand
6,brand
7,loyalty
8,brand
9,best-in-class
10,brand
11,brand
12,brand
13,brand
14,brand
15,brand
16,brand
17,brand
18,brand
19,loyalty
20,loyalty
21,brand
22,brand
23,brand
24,brand
25,brand
26,brand
27,loyalty
28,brand
29,brand
30,brand
31,brand
32,brand
33,brand
34,brand
35,brand
36,brand
37,brand
38,brand
39,brand
40,brand
41,brand
42,brand
43,brand
44,brand
45,brand
46,brand
47,brand
48,brand
49,brand
50,brand
51,brand
52,brand
53,brand
54,brand
